"Familia","Especie","Nacional","Global","Endemismo","f_edit","f_new","f_delete"
"Canidae","Chrysocyon brachyurus","VU","NT",,FALSE,"FALSE","FALSE"
"Canidae","Speothos venaticus","VU","NT",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus colocolo","VU","NT",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus guigna","VU","VU",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus guttulus","VU","VU",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus jacobita","EN","EN",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus pardalis","VU","LC",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus tigrinus","VU","VU",,FALSE,"FALSE","FALSE"
"Felidae","Leopardus wiedii","VU","NT",,FALSE,"FALSE","FALSE"
"Felidae","Panthera onca","CR","NT",,FALSE,"FALSE","FALSE"
"Mustelidae","Eira barbara","NT","LC",,FALSE,"FALSE","FALSE"
"Mustelidae","Lontra longicaudis","NT","NT",,FALSE,"FALSE","FALSE"
"Mustelidae","Lontra provocax","EN","EN",,FALSE,"FALSE","FALSE"
"Mustelidae","Lyncodon patagonicus","NT","LC",,FALSE,"FALSE","FALSE"
"Cervidae","Blastocerus dichotomus","VU","VU",,FALSE,"FALSE","FALSE"
"Cervidae","Hippocamelus antisensis","EN","VU",,FALSE,"FALSE","FALSE"
"Cervidae","Hippocamelus bisulcus","EN","EN",,FALSE,"FALSE","FALSE"
"Cervidae","Mazama americana","VU","DD",,FALSE,"FALSE","FALSE"
"Cervidae","Mazama nana","NT","VU",,FALSE,"FALSE","FALSE"
"Cervidae","Ozotoceros bezoarticus","EN","NT",,FALSE,"FALSE","FALSE"
"Cervidae","Pudu puda","VU","NT",,FALSE,"FALSE","FALSE"
"Tayassuidae","Parachoerus wagneri","EN",,,FALSE,"FALSE","FALSE"
"Tayassuidae","Pecari tajacu","VU","LC",,FALSE,"FALSE","FALSE"
"Tayassuidae","Tayassu pecari","EN","VU",,FALSE,"FALSE","FALSE"
"Molossidae","Nyctinomops laticaudatus","NT","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Anoura caudifer","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Artibeus fimbriatus","NT","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Carollia perspicillata","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Glossophaga soricina","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Macrophyllum macrophyllum","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Micronycteris microtis","EN","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Platyrrhinus lineatus","NT","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Pygoderma bilabiatum","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Sturnira oporaphilum","VU","LC",,FALSE,"FALSE","FALSE"
"Phyllostomidae","Vampyressa pusilla","VU","DD",,FALSE,"FALSE","FALSE"
"Vespertilionidae","Myotis keaysi","VU","LC",,FALSE,"FALSE","FALSE"
"Vespertilionidae","Myotis ruber","NT","NT",,FALSE,"FALSE","FALSE"
"Chlamyphoridae","Cabassous chacoensis","NT","NT",,FALSE,"FALSE","FALSE"
"Chlamyphoridae","Cabassous tatouay","NT","LC",,FALSE,"FALSE","FALSE"
"Chlamyphoridae","Priodontes maximus","EN","VU",,FALSE,"FALSE","FALSE"
"Chlamyphoridae","Tolypeutes matacus","NT","NT",,FALSE,"FALSE","FALSE"
"Chlamyphoridae","Zaedyus pichiy","NT","NT",,FALSE,"FALSE","FALSE"
"Dasypodidae","Dasypus hybridus","NT","NT",,FALSE,"FALSE","FALSE"
"Didelphidae","Caluromys lanatus","VU","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Chacodelphys formosa","NT","NT","1",FALSE,"FALSE","FALSE"
"Didelphidae","Chironectes minimus","VU","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Gracilinanus microtarsus","VU","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Lutreolina massoia","NT","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Marmosa paraguayana","NT","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Metachirus nudicaudatus","VU","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Monodelphis domestica","NT","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Monodelphis scalops","VU","LC",,FALSE,"FALSE","FALSE"
"Didelphidae","Philander canus","NT",,,FALSE,"FALSE","FALSE"
"Didelphidae","Philander quica","VU",,,FALSE,"FALSE","FALSE"
"Didelphidae","Thylamys venustus","NT","DD",,FALSE,"FALSE","FALSE"
"Microbiotheridae","Dromiciops gliroides","VU","NT",,FALSE,"FALSE","FALSE"
"Tapiridae","Tapirus terrestris","VU","VU",,FALSE,"FALSE","FALSE"
"Myrmecophagidae","Myrmecophaga tridactyla","VU","VU",,FALSE,"FALSE","FALSE"
"Myrmecophagidae","Tamandua tetradactyla","NT","LC",,FALSE,"FALSE","FALSE"
"Cebidae","Aotus azarae","VU","LC",,FALSE,"FALSE","FALSE"
"Cebidae","Sapajus cay","VU","LC",,FALSE,"FALSE","FALSE"
"Cebidae","Sapajus nigritus","VU","NT",,FALSE,"FALSE","FALSE"
"Caviidae","Dolichotis patagonum","VU","NT","1",FALSE,"FALSE","FALSE"
"Caviidae","Microcavia shiptoni","NT","NT","1",FALSE,"FALSE","FALSE"
"Chinchillidae","Chinchilla chinchilla","EN","EN",,FALSE,"FALSE","FALSE"
"Cricetidae","Abrawayaomys ruschii","VU","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Akodon fumeus","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Akodon philipmyersi","EN","DD","1",FALSE,"FALSE","FALSE"
"Cricetidae","Akodon polopi","NT","LC","1",FALSE,"FALSE","FALSE"
"Cricetidae","Akodon sylvanus","NT","LC","1",FALSE,"FALSE","FALSE"
"Cricetidae","Bibimys chacoensis","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Bibimys torresi","EN","VU","1",FALSE,"FALSE","FALSE"
"Cricetidae","Brucepattersonius iheringi","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Castoria angustidens","VU",,,FALSE,"FALSE","FALSE"
"Cricetidae","Delomys dorsalis","VU","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Deltamys kempi","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Eligmodontia bolsonensis","NT",,"1",FALSE,"FALSE","FALSE"
"Cricetidae","Euryoryzomys russatus","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Holochilus lagigliai","CR",,"1",FALSE,"FALSE","FALSE"
"Cricetidae","Juliomys pictipes","VU","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Necromys obscurus","NT","LC",,FALSE,"FALSE","FALSE"
"Cricetidae","Oecomys franciscorum","VU",,,FALSE,"FALSE","FALSE"
"Cricetidae","Oxymycterus wayku","VU","VU","1",FALSE,"FALSE","FALSE"
"Cricetidae","Phyllotis bonariensis","NT","NT","1",FALSE,"FALSE","FALSE"
"Cricetidae","Phyllotis nogalaris","EN",,"1",FALSE,"FALSE","FALSE"
"Cricetidae","Salinomys delicatus","VU","DD","1",FALSE,"FALSE","FALSE"
"Cricetidae","Tapecomys primus","VU","LC",,FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys argentinus","NT","NT","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys australis","EN","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys bergi","VU","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys bonettoi","EN","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys chasiquensis","NT",,"1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys dorbignyi","CR","NT","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys emilianus","VU","LC","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys latro","VU","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys magellanicus","VU","LC",,FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys occultus","EN","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys osvaldoreigi","EN","CR","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys pearsoni","EN","NT",,FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys perrensi","VU","LC","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys porteousi","EN","NT","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys pundti","EN","EN","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys rionegrensis","EN","EN",,FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys roigi","CR","CR","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys sociabilis","EN","CR","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys talarum","VU","LC","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys tuconax","EN","DD","1",FALSE,"FALSE","FALSE"
"Ctenomyidae","Ctenomys tucumanus","VU","DD","1",FALSE,"FALSE","FALSE"
"Cuniculidae","Cuniculus paca","NT","LC",,FALSE,"FALSE","FALSE"
"Dasyproctidae","Dasyprocta azarae","NT","DD",,FALSE,"FALSE","FALSE"
"Echimyidae","Euryzygomatomys spinosus","NT","LC",,FALSE,"FALSE","FALSE"
"Echimyidae","Kannabateomys amblyonyx","NT","LC",,FALSE,"FALSE","FALSE"
"Erethizontidae","Coendou bicolor","VU","LC",,FALSE,"FALSE","FALSE"
"Erethizontidae","Coendou prehensilis","VU","LC",,FALSE,"FALSE","FALSE"
"Octodontidae","Aconaemys porteri","NT","DD",,FALSE,"FALSE","FALSE"
"Octodontidae","Aconaemys sagei","VU","DD",,FALSE,"FALSE","FALSE"
"Octodontidae","Octodon bridgesi","VU","VU",,FALSE,"FALSE","FALSE"
"Octodontidae","Octomys mimax","VU","LC","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys aureus","CR","CR","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys barrerae","NT","NT","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys kirchnerorum","VU","DD","1",FALSE,"FALSE","FALSE"
"Octodontidae","Tympanoctomys loschalchalerosorum","CR","CR","1",FALSE,"FALSE","FALSE"
"Sciuridae","Notosciurus pucheranii","NT",,,FALSE,"FALSE","FALSE"
"Caenolestidae","Rhyncholestes raphanurus","VU","NT","0",TRUE,"FALSE","FALSE"
"Abrocomidae","Abrocoma budini","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma famatina","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma schistacea","VU","NoIUCN","0",TRUE,"FALSE","FALSE"
"Abrocomidae","Abrocoma uspallata","VU","DD","1",FALSE,"FALSE","FALSE"
"Abrocomidae","Abrocoma vaccarum","VU","DD","1",FALSE,"FALSE","FALSE"
"Atelidae","Alouatta caraya","VU","NT","0",TRUE,"FALSE","FALSE"
"Atelidae","Alouatta guariba","CR","VU","0",TRUE,"FALSE","FALSE"
