"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"282","Micronycteris microtis","Yungas","","selvas o bosques; palustre","urbano o periurbano; canales artificiales","BAJA","400","600"
"283","Mirounga leonina","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"284","Molossops neglectus","Campos y Malezales; Selva Paranaense","","selvas o bosques; arbustales","urbano o periurbano","MEDIA","70","190"
"285","Molossops temminckii","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Espinal; Delta e Islas del Paraná","Monte de Llanuras y Mesetas","selvas o bosques; arbustales","cultivos o agrícolas; urbano o periurbano","MEDIA","54","1400"
"286","Molossus currentium","Esteros del Iberá; Delta e Islas del Paraná; Pampa","","arbustales","urbano o periurbano","DESCONOCIDA","7","60"
"287","Molossus molossus","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales; rupestre","cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","ALTA","0","1800"
"288","Molossus rufus","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales; pastizales","urbano o periurbano","MEDIA","19","1200"
"289","Monodelphis dimidiata","Chaco Seco; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense","Yungas","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","0","2000"
"290","Monodelphis domestica","Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; urbano o periurbano","ALTA","60","200"
"291","Monodelphis iheringi","","Selva Paranaense","selvas o bosques","","DESCONOCIDA","",""
"292","Monodelphis kunsi","Yungas","","selvas o bosques; arbustales","pastizales","DESCONOCIDA","200","1500"
"293","Monodelphis scalops","Selva Paranaense","","selvas o bosques","pastizales","DESCONOCIDA","0","1400"
"294","Monodelphis unistriata","Selva Paranaense","","","","SIN DATOS","",""
"295","Myocastor coypus","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense; Estepa Patagónica","Islas del Atlántico Sur","lagos o lagunas; palustre","rios o arroyos; embalses o diques; canales artificiales","ALTA","0","1200"
"296","Myotis aelleni","","","","","SIN DATOS","",""
"297","Myotis albescens","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; forestaciones","pastizales; rupestre; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","1500"
"298","Myotis chiloensis","Monte de Llanuras y Mesetas; Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales; estepas; lagos o lagunas; rios o arroyos","forestaciones; canales artificiales","MEDIA","50","1500"
"299","Myotis dinellii","Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica","","selvas o bosques; arbustales; pastizales; rupestre; estepas; forestaciones","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","0","2860"
"300","Myotis izecksohni","Campos y Malezales; Selva Paranaense","","selvas o bosques; rupestre","","DESCONOCIDA","179","1342"
"301","Myotis keaysi","Puna; Yungas; Chaco Seco","","selvas o bosques","arbustales; forestaciones","DESCONOCIDA","500","3540"
"302","Myotis lavali","Yungas","","selvas o bosques","","DESCONOCIDA","","670"
"303","Myotis levis","Campos y Malezales; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; rupestre; forestaciones","pastizales; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","30","820"
"304","Myotis nigricans","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Selva Paranaense","","selvas o bosques; arbustales; forestaciones; urbano o periurbano","pastizales; cultivos o agrícolas; pasturas ganaderas","MEDIA","87","2683"
"305","Myotis oxyotus","Puna","","arbustales; rupestre","","MEDIA","3000","3500"
"306","Myotis riparius","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; palustre","cultivos o agrícolas; forestaciones; embalses o diques; urbano o periurbano; canales artificiales","MEDIA","60","2000"
"307","Myotis ruber","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques","","MUY BAJA","0","758"
"308","Myotis simus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá","","selvas o bosques; arbustales; rios o arroyos; palustre","canales artificiales","DESCONOCIDA","28","600"
"309","Myrmecophaga tridactyla","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Selva Paranaense","","selvas o bosques; arbustales; pastizales","palustre; cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","1000"
"310","Nasua nasua","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales; cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","100","2500"
"311","Necromys amoenus","Puna; Yungas","","pastizales; rupestre","","DESCONOCIDA","3100","3100"
"312","Necromys lactens","Puna; Yungas; Monte de Sierras y Bolsones; Chaco Seco","","arbustales; pastizales","","DESCONOCIDA","1500","3100"
"313","Necromys lasiurus","Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Pampa; Selva Paranaense","","arbustales","pastizales; cultivos o agrícolas; pasturas ganaderas","DESCONOCIDA","",""
"314","Necromys lenguarum","Chaco Seco","","","","SIN DATOS","120","550"
"315","Necromys lilloi","Yungas","","arbustales; pastizales","","SIN DATOS","",""
"316","Necromys obscurus","Pampa","","pastizales; palustre","","MEDIA","",""
"317","Nectomys squamipes","Selva Paranaense","","selvas o bosques; palustre","","BAJA","",""
"318","Neotomys ebriosus","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones","","pastizales","estepas","DESCONOCIDA","1950","4500"
"319","Noctilio albiventris","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Delta e Islas del Paraná","","selvas o bosques; lagos o lagunas; rios o arroyos; palustre","embalses o diques; urbano o periurbano; canales artificiales","MEDIA","50","100"
"320","Noctilio leporinus","Yungas; Chaco Seco; Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","Campos y Malezales","selvas o bosques; lagos o lagunas; rios o arroyos; palustre; costeros","embalses o diques; urbano o periurbano; canales artificiales","MEDIA","30","1000"
"321","Notiomys edwardsii","Estepa Patagónica","","estepas","","BAJA","",""
"322","Notosciurus pucheranii","Yungas","","selvas o bosques","","DESCONOCIDA","700","2700"
"323","Nyctinomops laticaudatus","Yungas; Chaco Seco; Selva Paranaense","","selvas o bosques; rupestre; palustre","urbano o periurbano","BAJA","60","860"
"324","Nyctinomops macrotis","Yungas; Monte de Sierras y Bolsones; Chaco Seco","","selvas o bosques; arbustales; palustre","urbano o periurbano","MEDIA","350","1500"
"325","Octodon bridgesi","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; rupestre; estepas","forestaciones","DESCONOCIDA","950","1150"
"326","Octodontomys gliroides","Altos Andes; Monte de Sierras y Bolsones","","arbustales; rupestre; estepas","cultivos o agrícolas","ALTA","1200","4500"
"327","Octomys mimax","Monte de Sierras y Bolsones","","rupestre","","DESCONOCIDA","1216","1509"
"328","Oecomys franciscorum","Chaco Húmedo","","selvas o bosques","arbustales","DESCONOCIDA","50","150"
"329","Oligoryzomys brendae","Yungas; Monte de Sierras y Bolsones; Chaco Seco","","selvas o bosques; arbustales; pastizales","","DESCONOCIDA","700","2900"
"330","Oligoryzomys chacoensis","Yungas; Chaco Seco; Chaco Húmedo","","selvas o bosques","arbustales","DESCONOCIDA","300","1200"
"331","Oligoryzomys flavescens","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","Chaco Seco","selvas o bosques; pastizales; palustre","arbustales; cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","MEDIA","",""
"332","Oligoryzomys fornesi","Chaco Seco; Chaco Húmedo","","arbustales; pastizales; palustre","selvas o bosques","MEDIA","",""
"333","Oligoryzomys longicaudatus","Monte de Llanuras y Mesetas; Bosque Patagónico; Espinal; Estepa Patagónica","","selvas o bosques; arbustales","pastizales; estepas; forestaciones; urbano o periurbano","MEDIA","0","1000"
"334","Oligoryzomys magellanicus","","","","","SIN DATOS","",""
"335","Oligoryzomys nigripes","Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales","pastizales","BAJA","",""
"336","Oligoryzomys occidentalis","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Espinal","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas","MEDIA","400","3800"
"337","Ommatophoca rossii","","Islas del Atlántico Sur; X Mar Argentino","oceánicos","costeros","MUY BAJA","",""
"338","Orcinus orca","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"339","Otaria flavescens","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","rios o arroyos","MEDIA","0","5"
"340","Oxymycterus paramensis","Yungas","","selvas o bosques; pastizales","arbustales","ALTA","700","4000"
"341","Oxymycterus quaestor","Selva Paranaense","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas","BAJA","",""
"342","Oxymycterus rufus","Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","Selva Paranaense","pastizales","arbustales; palustre; cultivos o agrícolas; pasturas ganaderas","MEDIA","",""
"343","Oxymycterus wayku","Yungas","","selvas o bosques","","BAJA","800","3100"
"344","Ozotoceros bezoarticus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Pampa","","pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","400"
"345","Panthera onca","Yungas; Chaco Seco; Chaco Húmedo; Selva Paranaense","","selvas o bosques; palustre","arbustales; pastizales; forestaciones; pasturas ganaderas","BAJA","0","3600"
"346","Parachoerus wagneri","Chaco Seco; Chaco Húmedo","","selvas o bosques","arbustales; pastizales","BAJA","0","500"
"347","Paynomys macronyx","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; arbustales","","DESCONOCIDA","",""
"348","Pecari tajacu","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Selva Paranaense","","selvas o bosques; arbustales; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","3200"
"349","Philander canus","Chaco Húmedo; Delta e Islas del Paraná","","selvas o bosques","","MEDIA","0","160"
"350","Philander quica","Selva Paranaense","","selvas o bosques","","MEDIA","0","600"
"351","Phocoena dioptrica","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"352","Phocoena spinipinnis","","","costeros","","DESCONOCIDA","",""
"353","Phyllotis alisosiensis","Yungas","","selvas o bosques","arbustales","DESCONOCIDA","1234","2175"
"354","Phyllotis anitae","Yungas","","selvas o bosques","arbustales","DESCONOCIDA","1600","3000"
"355","Phyllotis bonariensis","Espinal","","rupestre","","MEDIA","500","1200"
"356","Phyllotis caprinus","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones","","estepas","pastizales","DESCONOCIDA","2100","4500"
"357","Phyllotis nogalaris","Yungas","","selvas o bosques","arbustales","DESCONOCIDA","1200","3100"
"358","Phyllotis tucumanus","Altos Andes; Yungas; Monte de Sierras y Bolsones","","pastizales","estepas","DESCONOCIDA","1400","3960"
"359","Phyllotis xanthopygus","Altos Andes; Puna; Monte de Sierras y Bolsones; Estepa Patagónica","","rupestre","arbustales; pastizales; estepas","MEDIA","0","5600"
"360","Physeter macrocephalus","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","","DESCONOCIDA","",""
"361","Platyrrhinus lineatus","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","urbano o periurbano","MEDIA","50","222"
"362","Pontoporia blainvillei","","","costeros","","DESCONOCIDA","",""
"363","Priodontes maximus","Chaco Seco","","selvas o bosques","pastizales","MUY BAJA","0","500"
"364","Procyon cancrivorus","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; arbustales; pastizales; rios o arroyos; palustre","cultivos o agrícolas; forestaciones","MEDIA","0","2350"
"365","Promops centralis","Chaco Húmedo","","selvas o bosques","cultivos o agrícolas; urbano o periurbano","MEDIA","65","86"
"366","Promops nasutus","Yungas; Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo; Campos y Malezales; Espinal; Pampa","","selvas o bosques; arbustales; palustre","cultivos o agrícolas; urbano o periurbano; canales artificiales","MEDIA","57","2350"
"367","Pseudorca crassidens","","","oceánicos","costeros","DESCONOCIDA","",""
"368","Pseudoryzomys simplex","Chaco Húmedo","","arbustales; pastizales; palustre","","BAJA","50","900"
"369","Pteronura brasiliensis","","","selvas o bosques; lagos o lagunas; rios o arroyos","palustre; embalses o diques; canales artificiales","BAJA","0","500"
"370","Pudu puda","Bosque Patagónico","","selvas o bosques","","BAJA","0","1700"
"371","Puma concolor","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense; Estepa Patagónica","","selvas o bosques; arbustales; pastizales; rupestre; estepas","palustre; costeros; cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","MEDIA","0","5000"
"372","Pygoderma bilabiatum","Yungas; Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales; urbano o periurbano","DESCONOCIDA","300","2050"
"373","Reithrodon auritus","Altos Andes; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Bosque Patagónico; Espinal; Pampa; Estepa Patagónica","","arbustales; estepas","selvas o bosques; cultivos o agrícolas","MEDIA","0","3000"
"374","Reithrodon typicus","Esteros del Iberá; Espinal; Pampa","","pastizales","cultivos o agrícolas; pasturas ganaderas","MEDIA","",""
"375","Rhipidomys austrinus","Yungas","","selvas o bosques","","DESCONOCIDA","500","1700"
"376","Rhyncholestes raphanurus","Bosque Patagónico","","selvas o bosques","","DESCONOCIDA","0","1200"
"377","Salinomys delicatus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas","","arbustales","","DESCONOCIDA","400","600"
"378","Sapajus cay","Yungas","Chaco Húmedo","selvas o bosques","cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","600","1700"
"379","Sapajus nigritus","Selva Paranaense","","selvas o bosques","cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","139","760"
"380","Scapteromys aquaticus","Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","","selvas o bosques; palustre","pastizales; urbano o periurbano","BAJA","",""
"381","Sooretamys angouya","Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques","","BAJA","",""
"382","Speothos venaticus","Selva Paranaense","","selvas o bosques","arbustales; cultivos o agrícolas; forestaciones","MEDIA","100","600"
"383","Stenella attenuata","","","","","SIN DATOS","",""
"384","Stenella clymene","","","","","SIN DATOS","",""
"385","Stenella coeruleoalba","","","oceánicos","costeros","SIN DATOS","",""
"386","Sturnira erythromos","Yungas","","selvas o bosques","arbustales; cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","385","1600"
"387","Sturnira lilium","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques","forestaciones","MEDIA","65","1800"
"388","Sturnira oporaphilum","Yungas","","selvas o bosques","","BAJA","500","2575"
"389","Sylvilagus brasiliensis","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Selva Paranaense","","selvas o bosques; arbustales; pastizales; forestaciones","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","ALTA","0","3000"
"390","Tadarida brasiliensis","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense; Estepa Patagónica; Islas del Atlántico Sur","","selvas o bosques; arbustales; pastizales; rupestre; estepas","cultivos o agrícolas; forestaciones; embalses o diques; urbano o periurbano","ALTA","0","2400"
"391","Tamandua tetradactyla","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Selva Paranaense","Delta e Islas del Paraná","selvas o bosques","arbustales; pastizales; cultivos o agrícolas; forestaciones","MEDIA","0","2400"
"392","Tapecomys primus","Yungas","","selvas o bosques","","DESCONOCIDA","1200","1500"
"393","Tapecomys wolffsohni","Yungas","","arbustales","pastizales","DESCONOCIDA","2200","2200"
"394","Tapirus terrestris","Yungas; Chaco Seco; Chaco Húmedo; Selva Paranaense","","selvas o bosques; arbustales; palustre","pastizales; forestaciones","BAJA","80","2200"
"395","Tasmacetus shepherdi","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"396","Tayassu pecari","Yungas; Chaco Seco; Chaco Húmedo; Selva Paranaense","","selvas o bosques; arbustales; palustre","pastizales; forestaciones","BAJA","0","1500"
"397","Thaptomys nigrita","Selva Paranaense","","selvas o bosques","cultivos o agrícolas; forestaciones","BAJA","",""
"398","Thylamys bruchi","Monte de Llanuras y Mesetas; Chaco Seco","","selvas o bosques; arbustales; pastizales","pasturas ganaderas","MEDIA","0","1000"
"399","Thylamys citellus","Campos y Malezales; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","Esteros del Iberá","arbustales; pastizales","","MEDIA","0","200"
"400","Thylamys pallidior","Altos Andes; Puna; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Pampa; Estepa Patagónica","","selvas o bosques; arbustales; estepas","pastizales; cultivos o agrícolas; pasturas ganaderas","MEDIA","0","4200"
"401","Thylamys pulchellus","Monte de Sierras y Bolsones; Chaco Seco; Chaco Húmedo","","selvas o bosques; arbustales","pastizales","MEDIA","0","600"
"402","Thylamys sponsorius","Yungas; Monte de Sierras y Bolsones; Chaco Seco","","selvas o bosques","","MEDIA","500","3750"
"403","Thylamys venustus","Yungas; Chaco Seco","","selvas o bosques","","MEDIA","350","4000"
"404","Tolypeutes matacus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Espinal","","selvas o bosques; arbustales","pastizales; cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","800"
"405","Tonatia bidens","Yungas; Chaco Seco; Selva Paranaense","Chaco Húmedo","selvas o bosques","pastizales; cultivos o agrícolas; urbano o periurbano","BAJA","150","1500"
"406","Tremarctos ornatus","","Yungas","selvas o bosques; arbustales; pastizales","","BAJA","500","4500"
"407","Tursiops gephyreus","","","","","SIN DATOS","",""
"408","Tursiops truncatus","","","costeros","oceánicos","BAJA","",""
"409","Tympanoctomys aureus","Monte de Sierras y Bolsones","","arbustales","","BAJA","680","680"
"410","Tympanoctomys barrerae","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas","","arbustales","","BAJA","270","1450"
"411","Tympanoctomys kirchnerorum","Estepa Patagónica","","estepas","","BAJA","517","517"
"412","Tympanoctomys loschalchalerosorum","Chaco Seco","","arbustales","","BAJA","581","581"
"413","Vampyressa pusilla","Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales","BAJA","119","300"
"414","Vampyriscus bidens","","","","","SIN DATOS","",""
"415","Vicugna vicugna","Altos Andes; Puna","","pastizales; estepas; palustre; pasturas ganaderas","arbustales; cultivos o agrícolas","MEDIA","3200","5000"
"416","Zaedyus pichiy","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Espinal; Pampa; Estepa Patagónica","","arbustales; pastizales; estepas","pasturas ganaderas","MEDIA","0","2500"
"417","Ziphius cavirostris","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
